difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,1.0,0.9126896262168884,0.7917982935905457,0.5332252383232117,1.0,0.9126896262168884,0.7917982935905457,0.5332252383232117,1.0,0.9126896262168884,0.7917982935905457,0.5332252383232117
task,feature,dataset,,,,,,,,,,,,
classification,categorical,a1a,0.17475730180740356,0.0852699875831604,-0.06610411405563354,0.08790752291679382,0.2276467418068322,0.2276467418068322,0.2276467418068322,0.08131367969405634,0.2788850468692148,0.20455919807734818,0.04396828456288718,0.0005849535225760094
