difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.998005211353302,0.8970260620117188,0.8263359665870667,0.5273813009262085,0.998005211353302,0.8970260620117188,0.8263359665870667,0.5273813009262085,0.998005211353302,0.8970260620117188,0.8263359665870667,0.5273813009262085
task,feature,dataset,,,,,,,,,,,,
regression,numerical,mpg,0.04532676935195923,0.07921910285949707,-0.007882893085479736,0.05019873380661011,1.6790592554417034,0.03926304940052139,0.021396605477500857,-0.07842505907640054,1.505032585013521,0.16510567877806145,-0.013534551390251948,0.008038029515757356
