difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9538211822509766,0.8839247822761536,0.7816979885101318,0.5148152709007263,0.9538211822509766,0.8839247822761536,0.7816979885101318,0.5148152709007263,0.9538211822509766,0.8839247822761536,0.7816979885101318,0.5148152709007263
task,feature,dataset,,,,,,,,,,,,
regression,categorical,boston,0.08223313093185425,-0.18529748916625977,-0.6925102211534977,0.17363214492797852,1.1508656019874495,1.1508656019874495,1.1508656019874495,-0.13768253027802776,1.171205817058586,0.9579138326187975,0.5039553328716699,-0.0021064738516382575
