difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9957260489463806,0.8879029154777527,0.7562304139137268,0.45999109745025635,0.9957260489463806,0.8879029154777527,0.7562304139137268,0.45999109745025635,0.9957260489463806,0.8879029154777527,0.7562304139137268,0.45999109745025635
task,feature,dataset,,,,,,,,,,,,
regression,numerical,boston,0.10537934303283691,0.054962754249572754,0.1615334153175354,0.08130747079849243,1.5867934590966037,0.3701871057847148,-0.05379076507400568,-0.12801513420399244,1.491145785741976,0.24656843506845075,0.04713867521791876,-0.053215403747227746
