difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9976412057876587,0.8985877633094788,0.8020582795143127,0.5022319555282593,0.9976412057876587,0.8985877633094788,0.8020582795143127,0.5022319555282593,0.9976412057876587,0.8985877633094788,0.8020582795143127,0.5022319555282593
task,feature,dataset,,,,,,,,,,,,
regression,numerical,eunite2001,0.10608673095703125,0.06981390714645386,-0.02408158779144287,0.06836432218551636,1.3618770909581521,0.7635452675727774,0.43205152564775495,-0.14468155036271782,1.2935641015479784,0.7498394777683589,0.4847717605336505,-0.04997663334469493
