difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,1.0,0.9047619104385376,0.7904762029647827,0.4761904776096344,1.0,0.9047619104385376,0.7904762029647827,0.4761904776096344,1.0,0.9047619104385376,0.7904762029647827,0.4761904776096344
task,feature,dataset,,,,,,,,,,,,
classification,categorical,german numer,0.022988498210906982,0.0014713406562805176,-0.015594124794006348,-0.018198370933532715,0.058242987967812354,0.058242987967812354,0.058242987967812354,0.026675848357064713,0.05565391927501184,0.03439932767461651,0.012470211692172245,-0.029369468217154818
