difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,1.0,0.9009523987770081,0.7895237803459167,0.5666666626930237,1.0,0.9009523987770081,0.7895237803459167,0.5666666626930237,1.0,0.9009523987770081,0.7895237803459167,0.5666666626930237
task,feature,dataset,,,,,,,,,,,,
classification,categorical,ionosphere scale,0.04000002145767212,-0.026111602783203125,-0.045415520668029785,0.019480466842651367,0.14883078849628734,0.14883078849628734,0.14883078849628734,-0.01139057986766795,0.13474412215765527,0.0739929518630556,0.050065201769970036,0.005337048237145953
