difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9647559523582458,0.8533132672309875,0.810146689414978,0.44268369674682617,0.9647559523582458,0.8533132672309875,0.810146689414978,0.44268369674682617,0.9647559523582458,0.8533132672309875,0.810146689414978,0.44268369674682617
task,feature,dataset,,,,,,,,,,,,
regression,categorical,mpg,0.0469207763671875,-0.404257595539093,-0.5247922390699387,0.054601430892944336,1.3434622188985097,1.3434622188985097,1.3434622188985097,-0.06795012616391868,1.0987818815340902,0.6227790111694729,0.43978558861575584,-0.027712578929932036
