difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9530177712440491,0.8615553975105286,0.7828779816627502,0.4585389196872711,0.9530177712440491,0.8615553975105286,0.7828779816627502,0.4585389196872711,0.9530177712440491,0.8615553975105286,0.7828779816627502,0.4585389196872711
task,feature,dataset,,,,,,,,,,,,
classification,numerical,german numer,0.07878786325454712,0.12571430206298828,0.1281524896621704,0.1460915207862854,0.08347012051248659,0.13941229587221626,0.11175905461587016,-0.00015198172986974345,0.09677362800674394,0.13761341277594386,0.1283944443818008,0.053900042219749394
