difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9979254007339478,0.8892213106155396,0.7907136678695679,0.4756011962890625,0.9979254007339478,0.8892213106155396,0.7907136678695679,0.4756011962890625,0.9979254007339478,0.8892213106155396,0.7907136678695679,0.4756011962890625
task,feature,dataset,,,,,,,,,,,,
regression,numerical,space ga,0.02589350938796997,0.019342362880706787,0.015791237354278564,0.12429958581924438,0.7154262274840699,0.2431925890526685,0.07877812302029252,-0.14310617094897393,0.6384910109791104,0.19313485123508478,0.06580204576127391,0.009452747265706413
