difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.8018417954444885,0.7449356913566589,0.6746342182159424,0.379653662443161,0.8018417954444885,0.7449356913566589,0.6746342182159424,0.379653662443161,0.8018417954444885,0.7449356913566589,0.6746342182159424,0.379653662443161
task,feature,dataset,,,,,,,,,,,,
regression,categorical,space ga,0.13937115669250488,0.06391167640686035,-0.027482986450195312,0.10579034686088562,0.35516363888890023,0.35516363888890023,0.35516363888890023,-0.001277230020156117,0.38878819653011754,0.3146561383257241,0.21352478145862527,0.012782221912425756
