difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9500299096107483,0.8558438420295715,0.7604836821556091,0.42594048380851746,0.9500299096107483,0.8558438420295715,0.7604836821556091,0.42594048380851746,0.9500299096107483,0.8558438420295715,0.7604836821556091,0.42594048380851746
task,feature,dataset,,,,,,,,,,,,
regression,categorical,eunite2001,0.05943143367767334,-0.27592232823371887,-0.6978103891015053,0.08637875318527222,1.1510399484797147,1.1510399484797147,1.1510399484797147,-0.08698916596771225,1.049761985442255,0.7089750249346958,0.4173532433508852,0.012208319924062044
