difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.8937837481498718,0.7976560592651367,0.7060419917106628,0.4380311965942383,0.8937837481498718,0.7976560592651367,0.7060419917106628,0.4380311965942383,0.8937837481498718,0.7976560592651367,0.7060419917106628,0.4380311965942383
task,feature,dataset,,,,,,,,,,,,
regression,categorical,abalone,0.014009296894073486,-0.14892882108688354,-0.29652383737266064,0.10441148281097412,0.48037968169585077,0.48037968169585077,0.48037968169585077,-0.026454744185378853,0.44351168911774375,0.2775306512474678,0.150333626513318,0.044988408986662426
