difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9593565464019775,0.8253983855247498,0.7732435464859009,0.48583781719207764,0.9593565464019775,0.8253983855247498,0.7732435464859009,0.48583781719207764,0.9593565464019775,0.8253983855247498,0.7732435464859009,0.48583781719207764
task,feature,dataset,,,,,,,,,,,,
classification,numerical,ionosphere scale,0.04635763168334961,0.0389329195022583,0.032223403453826904,0.03753781318664551,0.16265091157915404,-0.03185314128435318,-0.028376783392954463,-0.024726298325697393,0.16063693060982856,-0.003556831260907195,-0.003968384445490997,-0.00926009474396583
