difference in,,,score,score,score,score,feat importance train,feat importance train,feat importance train,feat importance train,feat importance test,feat importance test,feat importance test,feat importance test
correlation,,,0.9367098212242126,0.8504639863967896,0.7582818269729614,0.46781179308891296,0.9367098212242126,0.8504639863967896,0.7582818269729614,0.46781179308891296,0.9367098212242126,0.8504639863967896,0.7582818269729614,0.46781179308891296
task,feature,dataset,,,,,,,,,,,,
regression,numerical,wine quality,0.10431110858917236,0.050502002239227295,0.048100054264068604,0.04208603501319885,0.8211592627647923,0.36364188032621114,0.24346050682320486,0.09153652272681312,0.9150893838027894,0.3469865778783081,0.2159873041125172,0.034583181041982325
